decision_step	day_zero_based	hour_zero_based	player	farmer	hands	market
12	0	12	Majkel1337	"[""CARE""]"	"[[""NORTH""], [""WATER""], [""WEST""], [""PLANT"", ""MELON""]]"	"[[""BUY_SEED"", ""WHEAT"", 2]]"
12	0	12	DSM	"[""WEST""]"	"[[""NORTH""], [""NORTH""], [""WEST""], [""NORTH""]]"	[]
13	0	13	Majkel1337	"[""WEST""]"	"[[""WEST""], [""WEST""], [""PLANT"", ""MELON""], [""WATER""]]"	[]
13	0	13	DSM	"[""PLANT"", ""MELON""]"	"[[""WEST""], [""PLANT"", ""MELON""], [""PLANT"", ""MELON""], [""PLANT"", ""MELON""]]"	"[[""SELL"", ""WHEAT"", 1], [""BUY_SEED"", ""WHEAT"", 5]]"
14	0	14	Majkel1337	"[""WEST""]"	"[[""PLANT"", ""MELON""], [""PLANT"", ""WHEAT""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
14	0	14	DSM	"[""WATER""]"	"[[""PLANT"", ""MELON""], [""WATER""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
15	0	15	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WATER""], [""WEST""], [""PLANT"", ""WHEAT""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
15	0	15	DSM	"[""WEST""]"	"[[""WATER""], [""NORTH""], [""WEST""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
16	0	16	Majkel1337	"[""NORTH""]"	"[[""WEST""], [""NORTH""], [""PLANT"", ""WHEAT""], [""WATER""]]"	"[[""SELL"", ""WHEAT"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
16	0	16	DSM	"[""PLANT"", ""WHEAT""]"	"[[""WEST""], [""PLANT"", ""WHEAT""], [""PLANT"", ""WHEAT""], [""PLANT"", ""WHEAT""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
17	0	17	Majkel1337	"[""PLANT"", ""WHEAT""]"	"[[""PLANT"", ""WHEAT""], [""PASS""], [""WATER""], [""WEST""]]"	"[[""SELL"", ""WHEAT"", 1], [""BUY_SEED"", ""WHEAT"", 1]]"
17	0	17	DSM	"[""WATER""]"	"[[""PLANT"", ""WHEAT""], [""WATER""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
18	0	18	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WATER""], [""NORTH""], [""PLANT"", ""WHEAT""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
18	0	18	DSM	"[""NORTH""]"	"[[""WATER""], [""NORTH""], [""NORTH""], [""WEST""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
19	0	19	Majkel1337	"[""NORTH""]"	"[[""WEST""], [""NORTH""], [""PLANT"", ""WHEAT""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
19	0	19	DSM	"[""PLANT"", ""WHEAT""]"	"[[""WEST""], [""PLANT"", ""WHEAT""], [""PLANT"", ""WHEAT""], [""PLANT"", ""WHEAT""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
20	0	20	Majkel1337	"[""PLANT"", ""WHEAT""]"	"[[""WEST""], [""NORTH""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
20	0	20	DSM	"[""WATER""]"	"[[""WEST""], [""WATER""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
21	0	21	Majkel1337	"[""WATER""]"	"[[""WATER""], [""SOUTH""], [""WEST""], [""PLANT"", ""WHEAT""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
21	0	21	DSM	"[""NORTH""]"	"[[""PLANT"", ""WHEAT""], [""WEST""], [""EAST""], [""NORTH""]]"	"[[""BUY_SEED"", ""WHEAT"", 1]]"
22	0	22	Majkel1337	"[""PASS""]"	"[[""PASS""], [""PASS""], [""PLANT"", ""WHEAT""], [""WATER""]]"	[]
22	0	22	DSM	"[""WATER""]"	"[[""WATER""], [""PLANT"", ""WHEAT""], [""PASS""], [""PASS""]]"	[]
23	0	23	Majkel1337	"[""PASS""]"	"[[""PASS""], [""PASS""], [""WATER""], [""EAST""]]"	[]
23	0	23	DSM	"[""PASS""]"	"[[""PASS""], [""WATER""], [""PASS""], [""WATER""]]"	[]
24	1	0	Majkel1337	"[""COLLECT_FERTILIZER""]"	[]	"[[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
24	1	0	DSM	"[""COLLECT_FERTILIZER""]"	[]	"[[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
25	1	1	Majkel1337	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""NORTH""], [""NORTH""], [""NORTH""]]"	[]
25	1	1	DSM	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""NORTH""], [""NORTH""], [""NORTH""]]"	[]
26	1	2	Majkel1337	"[""NORTH""]"	"[[""WEST""], [""WEST""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 2]]"
26	1	2	DSM	"[""NORTH""]"	"[[""WEST""], [""WEST""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 2]]"
27	1	3	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""COLLECT_FERTILIZER""], [""WEST""], [""NORTH""], [""WEST""]]"	[]
27	1	3	DSM	"[""COLLECT_FERTILIZER""]"	"[[""COLLECT_FERTILIZER""], [""WEST""], [""NORTH""], [""WEST""]]"	[]
28	1	4	Majkel1337	"[""SOUTH""]"	"[[""NORTH""], [""COLLECT_FERTILIZER""], [""WEST""], [""COLLECT_FERTILIZER""]]"	[]
28	1	4	DSM	"[""SOUTH""]"	"[[""NORTH""], [""COLLECT_FERTILIZER""], [""WEST""], [""COLLECT_FERTILIZER""]]"	[]
29	1	5	Majkel1337	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""COLLECT_FERTILIZER""], [""EAST""], [""CARE""], [""EAST""]]"	[]
29	1	5	DSM	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""COLLECT_FERTILIZER""], [""EAST""], [""CARE""], [""EAST""]]"	[]
30	1	6	Majkel1337	"[""PICKUP"", ""WHEAT"", 2]"	"[[""SOUTH""], [""EAST""], [""NORTH""], [""PLACE"", ""FERTILIZER"", 1]]"	"[[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""WHEAT"", 2]]"
30	1	6	DSM	"[""PICKUP"", ""WHEAT"", 2]"	"[[""SOUTH""], [""EAST""], [""NORTH""], [""PLACE"", ""FERTILIZER"", 1]]"	"[[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""WHEAT"", 2]]"
31	1	7	Majkel1337	"[""WEST""]"	"[[""SOUTH""], [""PLACE"", ""FERTILIZER"", 1], [""WATER""], [""PICKUP"", ""WHEAT"", 2]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
31	1	7	DSM	"[""WEST""]"	"[[""SOUTH""], [""PLACE"", ""FERTILIZER"", 1], [""WATER""], [""PICKUP"", ""WHEAT"", 2]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
32	1	8	Majkel1337	"[""FEED""]"	"[[""PLACE"", ""FERTILIZER"", 1], [""NORTH""], [""WEST""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1], [""BUY_SEED"", ""MELON"", 2]]"
32	1	8	DSM	"[""FEED""]"	"[[""PLACE"", ""FERTILIZER"", 1], [""NORTH""], [""WEST""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1], [""BUY_SEED"", ""MELON"", 2]]"
33	1	9	Majkel1337	"[""CARE""]"	"[[""CARE""], [""WEST""], [""WATER""], [""FEED""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
33	1	9	DSM	"[""CARE""]"	"[[""CARE""], [""WEST""], [""WATER""], [""FEED""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
34	1	10	Majkel1337	"[""WEST""]"	"[[""WEST""], [""PLANT"", ""MELON""], [""NORTH""], [""NORTH""]]"	[]
34	1	10	DSM	"[""WEST""]"	"[[""WEST""], [""PLANT"", ""MELON""], [""NORTH""], [""NORTH""]]"	[]
35	1	11	Majkel1337	"[""FEED""]"	"[[""WEST""], [""WATER""], [""PLANT"", ""MELON""], [""FEED""]]"	"[[""BUY_SEED"", ""MELON"", 2]]"
35	1	11	DSM	"[""FEED""]"	"[[""WEST""], [""WATER""], [""PLANT"", ""MELON""], [""FEED""]]"	"[[""BUY_SEED"", ""MELON"", 2]]"
36	1	12	Majkel1337	"[""CARE""]"	"[[""NORTH""], [""NORTH""], [""WATER""], [""SOUTH""]]"	[]
36	1	12	DSM	"[""CARE""]"	"[[""NORTH""], [""NORTH""], [""WATER""], [""SOUTH""]]"	"[[""BUY_SEED"", ""MELON"", 1]]"
37	1	13	Majkel1337	"[""WEST""]"	"[[""PLANT"", ""MELON""], [""WATER""], [""EAST""], [""CARE""]]"	[]
37	1	13	DSM	"[""WEST""]"	"[[""PLANT"", ""MELON""], [""WATER""], [""EAST""], [""CARE""]]"	[]
38	1	14	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WEST""], [""PLANT"", ""MELON""], [""NORTH""]]"	[]
38	1	14	DSM	"[""WATER""]"	"[[""WATER""], [""WEST""], [""PLANT"", ""MELON""], [""NORTH""]]"	[]
39	1	15	Majkel1337	"[""WEST""]"	"[[""WEST""], [""WATER""], [""WATER""], [""WEST""]]"	[]
39	1	15	DSM	"[""WEST""]"	"[[""WEST""], [""WATER""], [""WATER""], [""WEST""]]"	[]
40	1	16	Majkel1337	"[""WATER""]"	"[[""WATER""], [""NORTH""], [""SOUTH""], [""NORTH""]]"	[]
40	1	16	DSM	"[""WATER""]"	"[[""WATER""], [""NORTH""], [""SOUTH""], [""NORTH""]]"	[]
41	1	17	Majkel1337	"[""NORTH""]"	"[[""NORTH""], [""WATER""], [""WEST""], [""WEST""]]"	[]
41	1	17	DSM	"[""NORTH""]"	"[[""NORTH""], [""WATER""], [""WEST""], [""WEST""]]"	[]
42	1	18	Majkel1337	"[""WATER""]"	"[[""WATER""], [""WEST""], [""WEST""], [""WEST""]]"	[]
42	1	18	DSM	"[""WATER""]"	"[[""WATER""], [""WEST""], [""WEST""], [""WEST""]]"	[]
43	1	19	Majkel1337	"[""NORTH""]"	"[[""NORTH""], [""WATER""], [""WEST""], [""WATER""]]"	[]
43	1	19	DSM	"[""NORTH""]"	"[[""NORTH""], [""WATER""], [""WEST""], [""WATER""]]"	[]
44	1	20	Majkel1337	"[""WATER""]"	"[[""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""]]"	[]
44	1	20	DSM	"[""WATER""]"	"[[""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""]]"	[]
45	1	21	Majkel1337	"[""PASS""]"	"[[""EAST""], [""WATER""], [""WATER""], [""WATER""]]"	[]
45	1	21	DSM	"[""PASS""]"	"[[""EAST""], [""WATER""], [""WATER""], [""EAST""]]"	[]
46	1	22	Majkel1337	"[""PASS""]"	"[[""WATER""], [""EAST""], [""WEST""], [""EAST""]]"	[]
46	1	22	DSM	"[""PASS""]"	"[[""WEST""], [""EAST""], [""WEST""], [""WATER""]]"	[]
47	1	23	Majkel1337	"[""PASS""]"	"[[""PASS""], [""PASS""], [""WATER""], [""PASS""]]"	[]
47	1	23	DSM	"[""PASS""]"	"[[""SOUTH""], [""PASS""], [""WATER""], [""PASS""]]"	[]
48	2	0	Majkel1337	"[""COLLECT_FERTILIZER""]"	[]	"[[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
48	2	0	DSM	"[""COLLECT_FERTILIZER""]"	[]	"[[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
49	2	1	Majkel1337	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""NORTH""], [""PICKUP"", ""WHEAT"", 1], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""]]"	[]
49	2	1	DSM	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""NORTH""], [""PICKUP"", ""WHEAT"", 1], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""]]"	[]
50	2	2	Majkel1337	"[""WEST""]"	"[[""WEST""], [""NORTH""], [""NORTH""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WEST""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
50	2	2	DSM	"[""WEST""]"	"[[""WEST""], [""NORTH""], [""NORTH""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WEST""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
51	2	3	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""NORTH""], [""FEED""], [""NORTH""], [""SOUTH""], [""WEST""], [""WEST""]]"	[]
51	2	3	DSM	"[""COLLECT_FERTILIZER""]"	"[[""NORTH""], [""FEED""], [""NORTH""], [""SOUTH""], [""WEST""], [""WEST""]]"	[]
52	2	4	Majkel1337	"[""EAST""]"	"[[""COLLECT_FERTILIZER""], [""CARE""], [""WEST""], [""PLACE"", ""FERTILIZER"", 1], [""WEST""], [""WEST""]]"	[]
52	2	4	DSM	"[""EAST""]"	"[[""COLLECT_FERTILIZER""], [""CARE""], [""WEST""], [""PLACE"", ""FERTILIZER"", 1], [""WEST""], [""WEST""]]"	[]
53	2	5	Majkel1337	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""SOUTH""], [""WEST""], [""CARE""], [""WEST""], [""WATER""], [""WEST""]]"	"[[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""WHEAT"", 2]]"
53	2	5	DSM	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""SOUTH""], [""WEST""], [""CARE""], [""WEST""], [""WATER""], [""WEST""]]"	"[[""SELL"", ""FERTILIZER"", 1], [""BUY_PRODUCT"", ""WHEAT"", 2]]"
54	2	6	Majkel1337	"[""PICKUP"", ""WHEAT"", 2]"	"[[""SOUTH""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""WATER""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
54	2	6	DSM	"[""PICKUP"", ""WHEAT"", 2]"	"[[""SOUTH""], [""WEST""], [""NORTH""], [""WEST""], [""NORTH""], [""WATER""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
55	2	7	Majkel1337	"[""WEST""]"	"[[""PLACE"", ""FERTILIZER"", 1], [""COLLECT_FERTILIZER""], [""WATER""], [""COLLECT_FERTILIZER""], [""NORTH""], [""NORTH""]]"	"[[""BUY_PRODUCT"", ""WHEAT"", 2]]"
55	2	7	DSM	"[""WEST""]"	"[[""PLACE"", ""FERTILIZER"", 1], [""COLLECT_FERTILIZER""], [""WATER""], [""COLLECT_FERTILIZER""], [""NORTH""], [""NORTH""]]"	"[[""BUY_PRODUCT"", ""WHEAT"", 2]]"
56	2	8	Majkel1337	"[""FEED""]"	"[[""PICKUP"", ""WHEAT"", 2], [""EAST""], [""WEST""], [""NORTH""], [""WEST""], [""WATER""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
56	2	8	DSM	"[""FEED""]"	"[[""PICKUP"", ""WHEAT"", 2], [""EAST""], [""WEST""], [""NORTH""], [""WEST""], [""WATER""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
57	2	9	Majkel1337	"[""CARE""]"	"[[""NORTH""], [""EAST""], [""WATER""], [""NORTH""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""MELON"", 1]]"
57	2	9	DSM	"[""CARE""]"	"[[""NORTH""], [""EAST""], [""WATER""], [""NORTH""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""MELON"", 1]]"
58	2	10	Majkel1337	"[""WEST""]"	"[[""FEED""], [""PLACE"", ""FERTILIZER"", 1], [""WEST""], [""WATER""], [""WEST""], [""WATER""]]"	[]
58	2	10	DSM	"[""WEST""]"	"[[""FEED""], [""PLACE"", ""FERTILIZER"", 1], [""WEST""], [""WATER""], [""WEST""], [""WATER""]]"	"[[""BUY_SEED"", ""MELON"", 1]]"
59	2	11	Majkel1337	"[""FEED""]"	"[[""CARE""], [""WEST""], [""WATER""], [""HARVEST""], [""WATER""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
59	2	11	DSM	"[""FEED""]"	"[[""CARE""], [""WEST""], [""WATER""], [""HARVEST""], [""WATER""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
60	2	12	Majkel1337	"[""CARE""]"	"[[""NORTH""], [""WEST""], [""WEST""], [""PLANT"", ""MELON""], [""HARVEST""], [""WATER""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1], [""BUY_SEED"", ""MELON"", 1]]"
60	2	12	DSM	"[""CARE""]"	"[[""NORTH""], [""WEST""], [""WEST""], [""PLANT"", ""MELON""], [""HARVEST""], [""WATER""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 2], [""BUY_SEED"", ""MELON"", 1]]"
61	2	13	Majkel1337	"[""WEST""]"	"[[""FEED""], [""WEST""], [""WATER""], [""WATER""], [""PLANT"", ""MELON""], [""NORTH""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
61	2	13	DSM	"[""WEST""]"	"[[""FEED""], [""WEST""], [""WATER""], [""WATER""], [""PLANT"", ""MELON""], [""NORTH""]]"	[]
62	2	14	Majkel1337	"[""WATER""]"	"[[""WEST""], [""WATER""], [""HARVEST""], [""WEST""], [""WATER""], [""WATER""]]"	[]
62	2	14	DSM	"[""WATER""]"	"[[""WEST""], [""WATER""], [""HARVEST""], [""SOUTH""], [""WATER""], [""WATER""]]"	[]
63	2	15	Majkel1337	"[""NORTH""]"	"[[""WEST""], [""NORTH""], [""PLANT"", ""STRAWBERRY""], [""WATER""], [""EAST""], [""HARVEST""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
63	2	15	DSM	"[""NORTH""]"	"[[""WEST""], [""NORTH""], [""PLANT"", ""STRAWBERRY""], [""WATER""], [""EAST""], [""HARVEST""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
64	2	16	Majkel1337	"[""WATER""]"	"[[""NORTH""], [""WATER""], [""WATER""], [""NORTH""], [""EAST""], [""PLANT"", ""STRAWBERRY""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
64	2	16	DSM	"[""WATER""]"	"[[""WEST""], [""WATER""], [""WATER""], [""WEST""], [""SOUTH""], [""PLANT"", ""STRAWBERRY""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
65	2	17	Majkel1337	"[""EAST""]"	"[[""NORTH""], [""EAST""], [""NORTH""], [""NORTH""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
65	2	17	DSM	"[""NORTH""]"	"[[""WATER""], [""NORTH""], [""NORTH""], [""NORTH""], [""NORTH""], [""WATER""]]"	"[[""BUY_SEED"", ""STRAWBERRY"", 1]]"
66	2	18	Majkel1337	"[""WATER""]"	"[[""EAST""], [""WATER""], [""EAST""], [""EAST""], [""EAST""], [""EAST""]]"	[]
66	2	18	DSM	"[""NORTH""]"	"[[""SOUTH""], [""SOUTH""], [""EAST""], [""SOUTH""], [""EAST""], [""EAST""]]"	[]
67	2	19	Majkel1337	"[""EAST""]"	"[[""EAST""], [""EAST""], [""EAST""], [""EAST""], [""WATER""], [""EAST""]]"	[]
67	2	19	DSM	"[""NORTH""]"	"[[""EAST""], [""EAST""], [""EAST""], [""EAST""], [""WATER""], [""EAST""]]"	[]
68	2	20	Majkel1337	"[""WATER""]"	"[[""PASS""], [""WATER""], [""SOUTH""], [""SOUTH""], [""SOUTH""], [""SOUTH""]]"	[]
68	2	20	DSM	"[""EAST""]"	"[[""EAST""], [""EAST""], [""EAST""], [""EAST""], [""EAST""], [""EAST""]]"	[]
69	2	21	Majkel1337	"[""WEST""]"	"[[""PASS""], [""WEST""], [""SOUTH""], [""SOUTH""], [""SOUTH""], [""SOUTH""]]"	[]
69	2	21	DSM	"[""EAST""]"	"[[""WATER""], [""WATER""], [""WATER""], [""WATER""], [""WATER""], [""EAST""]]"	[]
70	2	22	Majkel1337	"[""WEST""]"	"[[""PASS""], [""WEST""], [""SOUTH""], [""SOUTH""], [""SOUTH""], [""SOUTH""]]"	[]
70	2	22	DSM	"[""SOUTH""]"	"[[""NORTH""], [""SOUTH""], [""PASS""], [""SOUTH""], [""PASS""], [""PASS""]]"	[]
71	2	23	Majkel1337	"[""WEST""]"	"[[""PASS""], [""WEST""], [""SOUTH""], [""SOUTH""], [""SOUTH""], [""SOUTH""]]"	[]
71	2	23	DSM	"[""PASS""]"	"[[""NORTH""], [""NORTH""], [""PASS""], [""EAST""], [""PASS""], [""PASS""]]"	[]
72	3	0	Majkel1337	"[""COLLECT_FERTILIZER""]"	[]	"[[""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
72	3	0	DSM	"[""COLLECT_FERTILIZER""]"	[]	"[[""SELL"", ""WHEAT"", 1], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""]]"
73	3	1	Majkel1337	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 2], [""NORTH""], [""NORTH""]]"	[]
73	3	1	DSM	"[""PLACE"", ""FERTILIZER"", 1]"	"[[""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 3], [""PICKUP"", ""WHEAT"", 2], [""NORTH""], [""NORTH""], [""NORTH""]]"	[]
74	3	2	Majkel1337	"[""WEST""]"	"[[""NORTH""], [""NORTH""], [""NORTH""], [""COLLECT_FERTILIZER""], [""NORTH""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
74	3	2	DSM	"[""WEST""]"	"[[""NORTH""], [""NORTH""], [""NORTH""], [""COLLECT_FERTILIZER""], [""NORTH""], [""WEST""]]"	"[[""SELL"", ""FERTILIZER"", 1]]"
75	3	3	Majkel1337	"[""COLLECT_FERTILIZER""]"	"[[""WEST""], [""WEST""], [""NORTH""], [""SOUTH""], [""WEST""]]"	[]
75	3	3	DSM	"[""COLLECT_FERTILIZER""]"	"[[""WEST""], [""WEST""], [""NORTH""], [""SOUTH""], [""WEST""], [""WEST""]]"	[]
